movie_id,num_genres,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11
392142,2,10752,35,0,0,0,0,0,0,0,0,0
383869,1,35,0,0,0,0,0,0,0,0,0,0
248705,1,35,0,0,0,0,0,0,0,0,0,0
334517,3,10752,18,53,0,0,0,0,0,0,0,0
267192,2,18,36,0,0,0,0,0,0,0,0,0
356298,2,35,18,0,0,0,0,0,0,0,0,0
331962,3,18,80,53,0,0,0,0,0,0,0,0
359412,3,28,80,53,0,0,0,0,0,0,0,0
276905,4,12,16,35,10751,0,0,0,0,0,0,0
375804,1,35,0,0,0,0,0,0,0,0,0,0
374461,1,18,0,0,0,0,0,0,0,0,0,0
404378,3,18,10751,35,0,0,0,0,0,0,0,0
329981,2,18,53,0,0,0,0,0,0,0,0,0
393729,1,18,0,0,0,0,0,0,0,0,0,0
384371,1,35,0,0,0,0,0,0,0,0,0,0
368596,1,18,0,0,0,0,0,0,0,0,0,0
411009,1,99,0,0,0,0,0,0,0,0,0,0
353979,2,27,53,0,0,0,0,0,0,0,0,0
375012,1,27,0,0,0,0,0,0,0,0,0,0
301348,2,35,36,0,0,0,0,0,0,0,0,0
312669,3,35,18,10749,0,0,0,0,0,0,0,0
375572,1,18,0,0,0,0,0,0,0,0,0,0
375798,1,35,0,0,0,0,0,0,0,0,0,0
407806,1,99,0,0,0,0,0,0,0,0,0,0
195590,2,53,28,0,0,0,0,0,0,0,0,0
352492,2,10402,18,0,0,0,0,0,0,0,0,0
348089,2,10770,10402,0,0,0,0,0,0,0,0,0
257087,1,27,0,0,0,0,0,0,0,0,0,0
377263,1,18,0,0,0,0,0,0,0,0,0,0
342737,2,35,18,0,0,0,0,0,0,0,0,0
291351,1,18,0,0,0,0,0,0,0,0,0,0
279096,3,28,35,878,0,0,0,0,0,0,0,0
308453,2,18,35,0,0,0,0,0,0,0,0,0
298584,1,27,0,0,0,0,0,0,0,0,0,0
245913,1,18,0,0,0,0,0,0,0,0,0,0
339547,1,27,0,0,0,0,0,0,0,0,0,0
311667,4,80,18,9648,53,0,0,0,0,0,0,0
323262,2,35,27,0,0,0,0,0,0,0,0,0
331583,2,18,53,0,0,0,0,0,0,0,0,0
375315,2,18,53,0,0,0,0,0,0,0,0,0
345009,2,53,10752,0,0,0,0,0,0,0,0,0
340103,2,18,27,0,0,0,0,0,0,0,0,0
380225,2,18,35,0,0,0,0,0,0,0,0,0
184341,1,18,0,0,0,0,0,0,0,0,0,0
332979,1,18,0,0,0,0,0,0,0,0,0,0
339792,2,35,10402,0,0,0,0,0,0,0,0,0
293767,2,18,10752,0,0,0,0,0,0,0,0,0
339994,2,27,53,0,0,0,0,0,0,0,0,0
381034,2,27,53,0,0,0,0,0,0,0,0,0
291356,4,80,53,37,28,0,0,0,0,0,0,0
258363,2,53,18,0,0,0,0,0,0,0,0,0
241258,2,27,53,0,0,0,0,0,0,0,0,0
369781,1,35,0,0,0,0,0,0,0,0,0,0
348668,4,80,18,9648,53,0,0,0,0,0,0,0
359871,1,99,0,0,0,0,0,0,0,0,0,0
262841,6,28,12,16,35,10751,878,0,0,0,0,0
342473,4,12,16,35,10751,0,0,0,0,0,0,0
377275,3,35,18,10749,0,0,0,0,0,0,0,0
293452,3,18,53,27,0,0,0,0,0,0,0,0
369780,1,35,0,0,0,0,0,0,0,0,0,0
336011,1,18,0,0,0,0,0,0,0,0,0,0
342672,1,35,0,0,0,0,0,0,0,0,0,0
408033,1,35,0,0,0,0,0,0,0,0,0,0
384737,4,28,18,80,53,0,0,0,0,0,0,0
