,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
480,Thriller,26688,5.3,0.855992,9,0,6,12,15,2.7999999999999998,2.7999999999999998,2.7999999999999998
481,Drama,72213,6.6,0.428499,7,20,746,759,15,102.8,102.40000000000001,104.2
482,Romance,6615,7.1,0.471701,637,640,639,639,642,249.80000000000001,189.0,200.59999999999999
483,Romance,14024,5.9,0.553873,765,762,759,760,763,254.19999999999999,254.19999999999999,253.40000000000001
484,Thriller,277685,5.5,2.28694,0,3,3,1,5,1.3999999999999999,0.80000000000000004,0.20000000000000001
485,Drama,345,6.9,2.251907,0,1,1,2,3,0.80000000000000004,0.20000000000000001,0.40000000000000002
486,Romance,3172,6.2,1.088604,0,265,3,1,1,50.799999999999997,0.40000000000000002,2.7999999999999998
487,Action,77560,6.8,0.453974,31,34,28,37,44,17.800000000000001,12.800000000000001,4.2000000000000002
488,Comedy,14442,5.8,1.191902,749,98,95,101,104,73.400000000000006,66.200000000000003,89.799999999999997
489,Action,253412,6.7,4.480531,753,728,722,725,728,240.40000000000001,243.80000000000001,247.0
